s,s,Tie
p,r,Win
s,r,Lose
p,r,Win
s,s,Tie
r,r,Tie
s,r,Lose
s,p,Win
p,s,Lose
p,s,Lose
r,p,Lose
r,p,Lose
p,s,Lose
p,r,Win
r,p,Lose
s,p,Win
r,r,Tie
s,p,Win
r,r,Tie
r,r,Tie
r,r,Tie
p,r,Win
s,p,Win
p,s,Lose
p,r,Win
r,p,Lose
r,r,Tie
s,r,Lose
p,r,Win
r,r,Tie
s,s,Tie
s,s,Tie
s,r,Lose
s,s,Tie
p,r,Win
s,r,Lose
p,r,Win
s,s,Tie
r,r,Tie
p,p,Tie
r,r,Tie
p,r,Win
r,r,Tie
p,p,Tie
r,p,Lose
p,s,Lose
s,p,Win
r,r,Tie
s,r,Lose
r,p,Lose
s,p,Win
r,r,Tie
r,p,Lose
p,p,Tie
p,r,Win
p,r,Win
s,r,Lose
s,p,Win
p,r,Win
s,p,Win
r,p,Lose
s,p,Win
s,s,Tie
p,p,Tie
p,s,Lose
r,p,Lose
r,p,Lose
p,p,Tie
p,s,Lose
r,s,Win
p,s,Lose
r,p,Lose
r,s,Win
p,s,Lose
s,p,Win
r,s,Win
r,s,Win
r,p,Lose
r,r,Tie
r,r,Tie
p,r,Win
s,r,Lose
p,r,Win
p,s,Lose
s,p,Win
p,p,Tie
s,p,Win
r,s,Win
s,s,Tie
p,r,Win
s,r,Lose
p,r,Win
r,s,Win
r,p,Lose
r,s,Win
s,r,Lose
p,r,Win
s,s,Tie
p,r,Win
r,r,Tie
